,county_state
263,"Mobile, AL"
264,"Mobile, AL"
265,"Mobile, AL"
266,"Mobile, AL"
267,"Mobile, AL"
268,"Mobile, AL"
269,"Mobile, AL"
270,"Mobile, AL"
271,"Mobile, AL"
272,"Mobile, AL"
273,"Mobile, AL"
274,"Mobile, AL"
275,"Monroe, AL"
276,"Monroe, AL"
277,"Monroe, AL"
278,"Monroe, AL"
279,"Monroe, AL"
280,"Montgomery, AL"
281,"Montgomery, AL"
282,"Montgomery, AL"
283,"Morgan, AL"
284,"Morgan, AL"
285,"Morgan, AL"
286,"Morgan, AL"
287,"Morgan, AL"
288,"Morgan, AL"
289,"Morgan, AL"
290,"Morgan, AL"
291,"Perry, AL"
292,"Perry, AL"
293,"Pickens, AL"
294,"Pickens, AL"
295,"Pickens, AL"
296,"Pickens, AL"
297,"Pickens, AL"
298,"Pickens, AL"
299,"Pike, AL"
300,"Pike, AL"
301,"Pike, AL"
302,"Randolph, AL"
303,"Randolph, AL"
304,"Randolph, AL"
305,"Randolph, AL"
306,"Russell, AL"
307,"Russell, AL"
308,"Russell, AL"
309,"Shelby, AL"
310,"Shelby, AL"
311,"Shelby, AL"
312,"Shelby, AL"
313,"Shelby, AL"
314,"Shelby, AL"
315,"Shelby, AL"
316,"Shelby, AL"
317,"Shelby, AL"
318,"Shelby, AL"
319,"Shelby, AL"
320,"Shelby, AL"
321,"Shelby, AL"
322,"Shelby, AL"
323,"Shelby, AL"
324,"Sumter, AL"
325,"Sumter, AL"
326,"Talladega, AL"
327,"Talladega, AL"
328,"Talladega, AL"
329,"Talladega, AL"
330,"Talladega, AL"
331,"Talladega, AL"
332,"Tallapoosa, AL"
333,"Tallapoosa, AL"
334,"Tallapoosa, AL"
335,"Tallapoosa, AL"
336,"Tallapoosa, AL"
337,"Tallapoosa, AL"
338,"Tallapoosa, AL"
339,"Tuscaloosa, AL"
340,"Tuscaloosa, AL"
341,"Tuscaloosa, AL"
342,"Tuscaloosa, AL"
343,"Tuscaloosa, AL"
344,"Tuscaloosa, AL"
345,"Tuscaloosa, AL"
346,"Tuscaloosa, AL"
347,"Walker, AL"
348,"Walker, AL"
349,"Walker, AL"
350,"Walker, AL"
351,"Walker, AL"
352,"Walker, AL"
353,"Walker, AL"
354,"Washington, AL"
355,"Washington, AL"
356,"Washington, AL"
357,"Wilcox, AL"
358,"Wilcox, AL"
359,"Winston, AL"
360,"Winston, AL"
361,"Winston, AL"
362,"Winston, AL"
363,"Winston, AL"
364,"Aleutians-East-Borough, BOROUGH"
365,"Aleutians-East-Borough, BOROUGH"
366,"Aleutians-East-Borough, BOROUGH"
367,"Denali-Borough, AK"
368,"Denali-Borough, AK"
369,"Fairbanks-North-Star-Borough, STAR"
370,"Fairbanks-North-Star-Borough, STAR"
371,"Fairbanks-North-Star-Borough, STAR"
372,"Fairbanks-North-Star-Borough, STAR"
373,"Fairbanks-North-Star-Borough, STAR"
374,"Haines-Borough, AK"
375,"Haines-Borough, AK"
376,"Kenai-Peninsula-Borough, BOROUGH"
377,"Kenai-Peninsula-Borough, BOROUGH"
378,"Kenai-Peninsula-Borough, BOROUGH"
379,"Kenai-Peninsula-Borough, BOROUGH"
380,"Kenai-Peninsula-Borough, BOROUGH"
381,"Kenai-Peninsula-Borough, BOROUGH"
382,"Kenai-Peninsula-Borough, BOROUGH"
383,"Kenai-Peninsula-Borough, BOROUGH"
384,"Kenai-Peninsula-Borough, BOROUGH"
385,"Kenai-Peninsula-Borough, BOROUGH"
386,"Ketchikan-Gateway-Borough, BOROUGH"
387,"Ketchikan-Gateway-Borough, BOROUGH"
388,"Kodiak-Island-Borough, BOROUGH"
389,"Kodiak-Island-Borough, BOROUGH"
390,"Matanuska-Susitna-Borough, BOROUGH"
391,"Matanuska-Susitna-Borough, BOROUGH"
392,"Matanuska-Susitna-Borough, BOROUGH"
393,"Matanuska-Susitna-Borough, BOROUGH"
394,"Matanuska-Susitna-Borough, BOROUGH"
395,"Matanuska-Susitna-Borough, BOROUGH"
396,"Matanuska-Susitna-Borough, BOROUGH"
397,"Matanuska-Susitna-Borough, BOROUGH"
398,"Matanuska-Susitna-Borough, BOROUGH"
399,"Matanuska-Susitna-Borough, BOROUGH"
400,"Matanuska-Susitna-Borough, BOROUGH"
401,"North-Slope-Borough, BOROUGH"
402,"North-Slope-Borough, BOROUGH"
403,"North-Slope-Borough, BOROUGH"
404,"Northwest-Arctic-Borough, BOROUGH"
405,"Northwest-Arctic-Borough, BOROUGH"
406,"Northwest-Arctic-Borough, BOROUGH"
407,"Apache, AZ"
408,"Apache, AZ"
409,"Apache, AZ"
410,"Apache, AZ"
411,"Apache, AZ"
412,"Apache, AZ"
413,"Apache, AZ"
414,"Apache, AZ"
415,"Apache, AZ"
416,"Apache, AZ"
417,"Apache, AZ"
418,"Apache, AZ"
419,"Apache, AZ"
420,"Apache, AZ"
421,"Apache, AZ"
422,"Apache, AZ"
423,"Apache, AZ"
424,"Apache, AZ"
425,"Apache, AZ"
426,"Cochise, AZ"
427,"Cochise, AZ"
428,"Cochise, AZ"
429,"Cochise, AZ"
430,"Cochise, AZ"
431,"Cochise, AZ"
432,"Cochise, AZ"
433,"Cochise, AZ"
434,"Cochise, AZ"
435,"Cochise, AZ"
436,"Coconino, AZ"
437,"Coconino, AZ"
438,"Coconino, AZ"
439,"Coconino, AZ"
440,"Coconino, AZ"
441,"Coconino, AZ"
442,"Coconino, AZ"
443,"Coconino, AZ"
444,"Coconino, AZ"
445,"Gila, AZ"
446,"Gila, AZ"
447,"Gila, AZ"
448,"Gila, AZ"
449,"Gila, AZ"
450,"Gila, AZ"
451,"Graham, AZ"
452,"Graham, AZ"
453,"Graham, AZ"
454,"Graham, AZ"
455,"La-Paz, COUNTY"
456,"La-Paz, COUNTY"
457,"Maricopa, AZ"
458,"Maricopa, AZ"
459,"Maricopa, AZ"
460,"Maricopa, AZ"
461,"Maricopa, AZ"
462,"Maricopa, AZ"
463,"Maricopa, AZ"
464,"Maricopa, AZ"
465,"Maricopa, AZ"
466,"Maricopa, AZ"
467,"Maricopa, AZ"
468,"Maricopa, AZ"
469,"Maricopa, AZ"
470,"Maricopa, AZ"
471,"Maricopa, AZ"
472,"Maricopa, AZ"
473,"Maricopa, AZ"
474,"Maricopa, AZ"
475,"Maricopa, AZ"
476,"Maricopa, AZ"
477,"Maricopa, AZ"
478,"Maricopa, AZ"
479,"Maricopa, AZ"
480,"Maricopa, AZ"
481,"Maricopa, AZ"
482,"Mohave, AZ"
483,"Mohave, AZ"
484,"Mohave, AZ"
485,"Mohave, AZ"
486,"Mohave, AZ"
487,"Mohave, AZ"
488,"Mohave, AZ"
489,"Mohave, AZ"
490,"Mohave, AZ"
491,"Mohave, AZ"
492,"Mohave, AZ"
493,"Mohave, AZ"
494,"Navajo, AZ"
495,"Navajo, AZ"
496,"Navajo, AZ"
497,"Navajo, AZ"
498,"Navajo, AZ"
499,"Navajo, AZ"
500,"Navajo, AZ"
501,"Navajo, AZ"
502,"Navajo, AZ"
503,"Navajo, AZ"
504,"Navajo, AZ"
505,"Navajo, AZ"
506,"Navajo, AZ"
507,"Navajo, AZ"
508,"Pima, AZ"
509,"Pima, AZ"
510,"Pima, AZ"
511,"Pima, AZ"
512,"Pima, AZ"
513,"Pima, AZ"
514,"Pima, AZ"
515,"Pima, AZ"
516,"Pima, AZ"
517,"Pima, AZ"
518,"Pima, AZ"
519,"Pima, AZ"
520,"Pima, AZ"
521,"Pima, AZ"
522,"Pima, AZ"
523,"Pinal, AZ"
524,"Pinal, AZ"
525,"Pinal, AZ"
526,"Pinal, AZ"
527,"Pinal, AZ"
528,"Pinal, AZ"
529,"Pinal, AZ"
530,"Pinal, AZ"
531,"Pinal, AZ"
532,"Pinal, AZ"
533,"Pinal, AZ"
534,"Pinal, AZ"
535,"Pinal, AZ"
536,"Pinal, AZ"
537,"Pinal, AZ"
538,"Pinal, AZ"
539,"Pinal, AZ"
540,"Santa-Cruz, COUNTY"
541,"Santa-Cruz, COUNTY"
542,"Santa-Cruz, COUNTY"
543,"Santa-Cruz, COUNTY"
544,"Santa-Cruz, COUNTY"
545,"Yavapai, AZ"
546,"Yavapai, AZ"
547,"Yavapai, AZ"
548,"Yavapai, AZ"
549,"Yavapai, AZ"
550,"Yavapai, AZ"
551,"Yavapai, AZ"
552,"Yavapai, AZ"
553,"Yavapai, AZ"
554,"Yavapai, AZ"
555,"Yavapai, AZ"
556,"Yavapai, AZ"
557,"Yavapai, AZ"
558,"Yavapai, AZ"
559,"Yavapai, AZ"
560,"Yavapai, AZ"
561,"Yavapai, AZ"
562,"Yavapai, AZ"
563,"Yavapai, AZ"
564,"Yavapai, AZ"
565,"Yuma, AZ"
566,"Yuma, AZ"
567,"Yuma, AZ"
568,"Yuma, AZ"
569,"Yuma, AZ"
570,"Arkansas, AR"
571,"Arkansas, AR"
572,"Arkansas, AR"
573,"Ashley, AR"
574,"Ashley, AR"
575,"Ashley, AR"
576,"Baxter, AR"
577,"Baxter, AR"
578,"Baxter, AR"
579,"Baxter, AR"
580,"Baxter, AR"
581,"Baxter, AR"
582,"Baxter, AR"
583,"Benton, AR"
584,"Benton, AR"
585,"Benton, AR"
586,"Benton, AR"
587,"Benton, AR"
588,"Benton, AR"
589,"Benton, AR"
590,"Benton, AR"
591,"Benton, AR"
592,"Benton, AR"
593,"Benton, AR"
594,"Benton, AR"
595,"Benton, AR"
596,"Benton, AR"
597,"Benton, AR"
598,"Benton, AR"
599,"Benton, AR"
600,"Benton, AR"
601,"Benton, AR"
602,"Benton, AR"
603,"Benton, AR"
604,"Benton, AR"
605,"Boone, AR"
606,"Boone, AR"
607,"Boone, AR"
608,"Boone, AR"
609,"Boone, AR"
610,"Boone, AR"
611,"Boone, AR"
612,"Boone, AR"
613,"Boone, AR"
614,"Boone, AR"
615,"Bradley, AR"
616,"Bradley, AR"
617,"Calhoun, AR"
618,"Carroll, AR"
619,"Carroll, AR"
620,"Carroll, AR"
621,"Carroll, AR"
622,"Carroll, AR"
623,"Carroll, AR"
624,"Carroll, AR"
625,"Carroll, AR"
626,"Carroll, AR"
